R10	9.38	65.16	0.00	1k	R0603
R11	46.10	13.44	270.00	10K	R0603
R12	60.17	30.73	90.00	0.01	1206
R13	51.91	10.53	90.00	200K	R0603
R14	21.34	33.68	0.00	1K	R0603
R15	44.65	103.34	0.00	4.7K	R0603
R16	9.36	54.27	90.00	10k	R0603
R17	58.97	87.46	270.00	10k	R0603
R18	40.70	103.34	180.00	4.7K	R0603
R2	57.60	36.08	270.00	340K (RTT053403FTP)	R0603
R20	62.01	35.97	90.00	1K	R0603
R22	48.59	22.49	90.00	180	R0603
R23	55.53	18.89	180.00	1K	R0603
R24	60.43	25.09	90.00	100k	R0603
R28	9.11	74.84	90.00	10k	R0603
R29	64.48	40.91	180.00	10K	R0603
R3	54.03	40.12	270.00	1.87M	R0603
R30	41.77	26.10	270.00	36k	R0603
R31	25.79	30.82	0.00	27	R0603
R32	25.79	28.49	0.00	27	R0603
R33	65.30	23.99	270.00	10K	R0603
R34	25.13	34.48	180.00	1k	R0603
R35	29.73	26.20	270.00	1k	R0603
R36	54.06	10.58	90.00	200K	R0603
R37	49.75	10.58	90.00	200K	R0603
R4	58.59	39.69	90.00	200K	R0603
R5	56.27	40.06	90.00	1K	R0603
R6	58.78	18.98	180.00	590	R0603
R7	50.67	22.51	270.00	1.1k	R0603
R8	9.40	60.07	0.00	1k	R0603
R9	43.64	13.46	270.00	0.47	R0603
RPI-CM1	41.32	63.82	180.00	DF40C-100DS-0.4V(51)	RPI-CM4
RPIBOOT	58.02	42.73	0.00	TEST-POINT3	PAD.03X.03
RPIBOOT1	47.48	36.59	0.00	TEST-POINT3	PAD.03X.03
RPIBOOT2	46.21	18.48	0.00	TEST-POINT3	PAD.03X.03
RPIBOOT3	40.75	85.41	0.00	TEST-POINT3	PAD.03X.03
RPIBOOT4	52.84	25.34	0.00	TEST-POINT3	PAD.03X.03
RPIBOOT5	61.71	21.78	0.00	TEST-POINT3	PAD.03X.03
S1	53.21	6.70	180.00		SWITCH-SPST-SMD-A
SJ1	65.09	38.44	0.00		PAD-JUMPER-2-NC_BY_TRACE_YES_SILK
SJ2	41.64	87.43	180.00		PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX
SJ3	38.12	87.33	0.00		PAD-JUMPER-3-2OF3_NC_BY_TRACE_YES_SILK_FULL_BOX
SJ6	47.48	50.87	180.00		PAD-JUMPER-2-NC_BY_TRACE_YES_SILK
SPI_FLASH_SAM	30.85	39.79	90.00	W25Q128JVBIQTFBGA_128JVBIQ_WIN	TFBGA_128JVBIQ_WIN
T1	61.19	39.98	0.00	MMUN2133LT1G	SC59-BEC
U1	53.43	35.66	0.00	TPS61090RSAR	PVQFN-16
U10	6.12	37.71	0.00	AP2112-3.3K	SOT23-5
U11	17.22	37.72	270.00	AP2112-3.3K	SOT23-5
U12	4.04	93.95	180.00	SPU0410LR5H-QB	XDCR_SPU0410LR5H-QB
U2	9.38	62.63	180.00	MC74VHC1G14DFT1G	SOT65P210X110-5N
U3	63.87	28.03	180.00	BQ27441DRZR-G1A	PDSO-N12
U4	57.67	22.77	90.00	BQ24075	PVQFN-N16
U5	32.18	99.35	270.00	TLV74328	SOT23-5
U6	32.18	95.60	270.00	TLV74315	SOT23-5
U7	31.97	91.43	0.00	TLV74318PDBVRDBV0005A_L	DBV0005A_L
U8	7.92	84.12	270.00	ST25DV64K-IER6S3SOIC_IER6S3_STM	SOIC_IER6S3_STM
U9	38.48	31.87	270.00	EMC2301-1-ACZL-TRMSOP8_MC_MCH-L	MSOP8_MC_MCH-L
USB_BOOT_N	24.10	32.84	0.00	TEST-POINT3	PAD.03X.03
Y1	33.92	25.29	180.00	ABM8-272-T3	ABM8272T3
